财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
美国当周API精炼油库存,http://www.kxt.com/data/usoiad%3deci.html, 美国石油协会(API), 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的桶数变化。, 基于官方数据——美国能源资料协会(EIA)提供的每周原油库存变化数据,库存的数目影响了可以对通货膨胀和其他经济影响力造成影响的成品油的价格。而原油和成品油价格都会对美国这个该产品的重大消费国经济产生重要影响，也会对原油主要出口国加拿大的货币加元产生重要影响。,利多
美国当周MBA30年期固定抵押贷款利率,http://www.kxt.com/data/usmg%3deci.html, 美国抵押贷款银行协会(MBA), 每周三公布,"数据>预期=利好美元
",对抵押贷款活动进行的调查，涵盖了超过75%的美国零售住宅抵押贷款申请活动。, 对超过75%的美国零售住宅抵押贷款申请进行统计,是房地产市场的领先性指标——大多数购房者都会申请抵押贷款。如果贷款上升，预示房产市场好转，对美元有利。,利多
美国当周MBA抵押贷款申请活动指数,http://www.kxt.com/data/usmgm%3deci.html, 美国抵押贷款银行协会(MBA), 每周三公布,"数据>预期=利好美元
",对抵押贷款活动进行的调查，涵盖了超过75%的美国零售住宅抵押贷款申请活动。, 对超过75%的美国零售住宅抵押贷款申请进行统计,是房地产市场的领先性指标——大多数购房者都会申请抵押贷款。如果贷款上升，预示房产市场好转，对美元有利。,利多
美国FHFA房价指数月率 ,http://www.kxt.com/data/hpimmom%25+index.html,美国联邦住房金融局(FHFA),每月一次,"公布值>预期值=利好美元/利空欧元
",统计由房利美(Fannie Mae)和房地美(Freddie Mac)提供贷款的房屋的价格变化,统计从房利美和房地美申请贷款的房屋的价格变化,美国房产市场是当前拖累美国经济复苏的一大因素，如果房价出现上升，对房产市场而言是个好消息。外汇投资者据此判断汇率走势。,利空
美国FHFA房价指数年率,http://www.kxt.com/data/ushpiy%3deci.html, 美国联邦住房金融局(FHFA), 每月一次,"公布值>预期值=利好美元/利空欧元
",统计由房利美(Fannie Mae)和房地美(Freddie Mac)提供贷款的房屋的价格变化, 统计从房利美和房地美申请贷款的房屋的价格变化,美国房产市场是当前拖累美国经济复苏的一大因素，如果房价出现上升，对房产市场而言是个好消息。外汇投资者据此判断汇率走势。,利多
美国当周初请失业金人数四周均值,http://www.kxt.com/data/usjoba%3deci.html, 美国劳工部, 每周四公布,"公布值＞预期值，利空美元，利多非美。
",美国劳工部 初请失业金人数是反映其国内劳动力市场状况的指标之一，统计的是第一次申请领取失业金的人数。, 过去一周初次申请失业保险的人数,该数据是对每月一次的就业报告的良好补充，当有更多的人申请失业救济金，则表明就业减少，反之亦然。投资者可以利用该报告寻求经济增长相关线索，但该数据波动较大。,利多
美国当周续请失业金人数,http://www.kxt.com/data/injcsp+index.html,美国劳工部,每周四公布,"公布值＞预期值，利空美元，利多非美。
",此概念追踪在恰当的政府劳动部门填写失业救济申请的总人数；这样做通常是为获得失业救济金。有时也称作登记失业。,此概念追踪在恰当的政府劳动部门填写失业救济申请的总人数；这样做通常是为获得失业救济金。有时也称作登记失业。,由于该数据每周都公布，是投资市场的焦点所在，失业人数的大幅增加，美国政府的财政压力也就随之增大，对于得了“双赤绝症”的美国经济来说也是一个考验，对美元不利。,利多
美国当周彭博消费者信心指数,http://www.kxt.com/data/comfcomf+index.html,彭博,每周一次,"公布值＞预期值，则利好美国经济及美元，利空非美。
",彭博消费者信心指数是衡量美国人对于经济的看法、个人财务状况以及其购买商品和服务的愿望的工具。 该指数来自于每周对大约250个成人进行电话采访，并以1000个回应的四周移动平均为基础。 该指数通过采用正面和负面观点的百分比来计算，然后将差额除以3。其结果范围从100到-100不等。,由彭博统计当周消费者信心指数。, 该指数通过采用正面和负面观点的百分比来计算，然后将差额除以3。其结果范围从100到-100不等。,利空
美国新屋销售总数年化,http://www.kxt.com/data/nhsltot+index.html, 美国商务部, 每月,"实际值>预期值=利好美元
",新屋销售数据（New Home Sales）由商务部经济分析局每月28日~下个月的4日之间公布一次。它是经济活动的先行指标。新屋销售也叫预售屋销售，它是指签订出售合约的房屋数量，美国新屋销售每月由商务部月底公布上月销售情况。, 前一个月卖出的单个家庭购买新房的年化数据,为经济健康与否的领先指标，因房屋销售触发广泛的影响。例如，购房者购买家具和电器，金融银行出售抵押凭证，以及中介收费等,利空
美国堪萨斯联储制造业产出指数,http://www.kxt.com/data/uskcmf%3deci.html, 美国堪萨斯联储, 每月,"公布值>预测值=利好美元
",堪萨斯联储该管辖区域制造类企业的调查，并制作成指数，以反映该地区制造业健康状况。, 对堪萨斯联储地区的制造业进行调查,通过堪萨斯联储制造业综合指数的涨跌，可以判断出该地区的制造业健康状况，从而影响对美国经济的判断。但因数据相对其他地区制造业指数之后，影响较小。,利多
美国堪萨斯联储制造业综合指数,http://www.kxt.com/data/kclssaci+index.html,美国堪萨斯联储,每月,"公布值>预测值=利好美元
",堪萨斯联储该管辖区域制造类企业的调查，并制作成指数，以反映该地区制造业健康状况。,对堪萨斯联储地区的制造业进行调查,通过堪萨斯联储制造业综合指数的涨跌，可以判断出该地区的制造业健康状况，从而影响对美国经济的判断。但因数据相对其他地区制造业指数之后，影响较小。,利空
美国扣除运输的耐用品订单月率,http://www.kxt.com/data/dgnoxtch+indexp.html, 美国商务部, 每月,"实际值>预期值=利好货币
",美国商务部 代表未来一个月内，对不易耗损的物品订购数量，该数据反映了制造业活动情况，就定义而言，订单泛指有意购买、而预期马上交运或在未来交运的商品交易。市场也较注重扣除国防部门用品及运输部门用品后数据的变化情况，因剔除这两项之后的数据，被用以衡量商业投资。,制造业购买耐用品新订单总价值的变化，公布月率数据,因为生产那些耐用品经常需要投入大量人力，物力和财力，所以对美国经济的发展有很大的影响力。,利多
美国扣除飞机非国防资本耐用品订单月率,http://www.kxt.com/data/cgnoxai%25+indexp.html,  美国商务部, 每月,"实际值>预期值=利好货币
",美国商务部 代表未来一个月内，对不易耗损的物品订购数量，该数据反映了制造业活动情况，就定义而言，订单泛指有意购买、而预期马上交运或在未来交运的商品交易。市场也较注重扣除国防部门用品及运输部门用品后数据的变化情况，因剔除这两项之后的数据，被用以衡量商业投资。,制造业购买耐用品新订单总价值的变化，公布月率数据,因为生产那些耐用品经常需要投入大量人力，物力和财力，所以对美国经济的发展有很大的影响力。,利多
美国扣除国防的耐用品订单月率,http://www.kxt.com/data/usdgnd%3deci.html, 美国商务部,月报，每月第一周公布上上月数据的修正值，与工厂订单同一天公布,"实际值>预期值=利好货币
",美国商务部 代表未来一个月内，对不易耗损的物品订购数量，该数据反映了制造业活动情况，就定义而言，订单泛指有意购买、而预期马上交运或在未来交运的商品交易。市场也较注重扣除国防部门用品及运输部门用品后数据的变化情况，因剔除这两项之后的数据，被用以衡量商业投资。,制造业购买耐用品新订单总价值的变化，公布月率数据,因为生产那些耐用品经常需要投入大量人力，物力和财力，所以对美国经济的发展有很大的影响力。,利多
